CITY,CUS_CUST_ID_BUY,GENDER,RANGO_EDAD,TARJETAS,ESTADO
rosario,349181696,female,03.Entre 26 y 30 años,Credit Card,santa fe
olavarria,204811593,male,03.Entre 26 y 30 años,Debit Card,buenos aires
vicente lopez,328270801,male,02.Entre 18 y 25 años,Account Money,buenos aires
san luis,268494945,Unknown,03.Entre 26 y 30 años,Credit Card,san luis
florida,174951595,female,03.Entre 26 y 30 años,Debit Card,buenos aires
junin,187884487,female,06.Entre 41 y 55 años,Debit Card,buenos aires
moreno,140398075,female,05.Entre 36 y 40 años,Account Money,buenos aires
corrientes,361637412,male,08.Mayor de 65 años,Account Money,corrientes
capital federal,22815674,female,07.Entre 56 y 65 años,Credit Card,capital federal
general alvear,33043004,male,00. Sin Dato,Credit Card,mendoza
plaza las heras,232071996,male,00. Sin Dato,Credit Card,capital federal
centenario,193372407,male,05.Entre 36 y 40 años,Debit Card,neuquen
san telmo,56627113,male,03.Entre 26 y 30 años,Credit Card,capital federal
caba,55670958,female,05.Entre 36 y 40 años,Credit Card,capital federal
avellaneda,323070396,male,02.Entre 18 y 25 años,Credit Card,buenos aires
rawson,284823406,female,02.Entre 18 y 25 años,Account Money,san juan
bahia blanca,76004280,female,06.Entre 41 y 55 años,Account Money,buenos aires
villa urquiza,155696898,Unknown,04.Entre 31 y 35 años,Debit Card,capital federal
benavidez,142142933,male,00. Sin Dato,Debit Card,buenos aires
quilmes oeste,243048383,male,03.Entre 26 y 30 años,Credit Card,buenos aires
caba,50340239,female,00. Sin Dato,Credit Card,capital federal
capital federal,9393155,male,06.Entre 41 y 55 años,Credit Card,capital federal
santiago del estero,264715204,male,02.Entre 18 y 25 años,Credit Card,santiago del estero
hudson,232633859,female,05.Entre 36 y 40 años,Credit Card,buenos aires
la plata,190012690,female,04.Entre 31 y 35 años,Credit Card,buenos aires
belgrano,76997694,male,05.Entre 36 y 40 años,Credit Card,capital federal
beraxatrhui,247524268,male,04.Entre 31 y 35 años,Ticket,buenos aires
bariloche,177187817,female,03.Entre 26 y 30 años,Credit Card,rio negro
general pico,108593835,male,04.Entre 31 y 35 años,Credit Card,buenos aires
rosario,258169918,male,04.Entre 31 y 35 años,Debit Card,santa fe
caba,177824514,male,03.Entre 26 y 30 años,Credit Card,capital federal
tigre,304417888,female,06.Entre 41 y 55 años,Credit Card,buenos aires
bahia blanca,242880252,male,03.Entre 26 y 30 años,Debit Card,buenos aires
san fernando,87135060,male,06.Entre 41 y 55 años,Credit Card,capital federal
parque patricios,10672749,male,06.Entre 41 y 55 años,Ticket,capital federal
recoleta,137705611,male,02.Entre 18 y 25 años,Credit Card,capital federal
lomas de zamora,372930382,male,03.Entre 26 y 30 años,Debit Card,buenos aires
bella vista,294193187,male,06.Entre 41 y 55 años,Debit Card,buenos aires
santa lucia,340523703,male,05.Entre 36 y 40 años,Credit Card,mendoza
cipolletti,155100659,female,00. Sin Dato,Account Money,rio negro
capilla del señor,374629785,female,03.Entre 26 y 30 años,Account Money,buenos aires
salto,22015044,female,03.Entre 26 y 30 años,Debit Card,buenos aires
caba,43726216,female,04.Entre 31 y 35 años,Credit Card,capital federal
,73360655,female,06.Entre 41 y 55 años,Credit Card,buenos aires
capital federal,203818566,male,08.Mayor de 65 años,Credit Card,capital federal
la plata,73860013,female,03.Entre 26 y 30 años,Credit Card,buenos aires
vicente lopez,301022792,male,06.Entre 41 y 55 años,Debit Card,buenos aires
chivilcoy,251740340,male,02.Entre 18 y 25 años,Credit Card,buenos aires
ciudad,229525734,male,05.Entre 36 y 40 años,Account Money,mendoza
florencio varela,440581074,female,00. Sin Dato,Account Money,buenos aires
punta alta,194539639,Unknown,02.Entre 18 y 25 años,Ticket,buenos aires
,13006927,male,07.Entre 56 y 65 años,Credit Card,buenos aires
el colorado,138896739,male,03.Entre 26 y 30 años,Account Money,formosa
marcos paz,7197938,male,07.Entre 56 y 65 años,Credit Card,buenos aires
belgrano,337087255,male,00. Sin Dato,Account Money,capital federal
santa teresita,21811635,male,05.Entre 36 y 40 años,Credit Card,buenos aires
centenario,108806666,female,03.Entre 26 y 30 años,Account Money,neuquen
san miguel,219084147,female,02.Entre 18 y 25 años,Credit Card,buenos aires
lanus,25397191,male,04.Entre 31 y 35 años,Credit Card,buenos aires
munro,135747390,male,06.Entre 41 y 55 años,Debit Card,buenos aires
monte grande,236952888,Unknown,02.Entre 18 y 25 años,Account Money,buenos aires
la plata,10733374,male,03.Entre 26 y 30 años,Credit Card,buenos aires
ingeniero maschwitz,407885426,female,02.Entre 18 y 25 años,Ticket,buenos aires
lomas de zamora,19592236,female,06.Entre 41 y 55 años,Credit Card,buenos aires
"chimbas,",185883915,male,03.Entre 26 y 30 años,Ticket,san juan
caba,397951408,male,02.Entre 18 y 25 años,Account Money,capital federal
recoleta,222675392,Unknown,05.Entre 36 y 40 años,Credit Card,capital federal
,174240592,male,04.Entre 31 y 35 años,Debit Card,misiones
belgrano,31616693,male,00. Sin Dato,Credit Card,capital federal
microcentro,188804005,female,00. Sin Dato,Credit Card,capital federal
franck,53357595,male,05.Entre 36 y 40 años,Account Money,santa fe
mataderos,211840645,Unknown,05.Entre 36 y 40 años,Account Money,capital federal
,59450129,male,05.Entre 36 y 40 años,Credit Card,chubut
san salvador de jujuy,204354380,male,05.Entre 36 y 40 años,Account Money,jujuy
cab comgreso,135934933,male,06.Entre 41 y 55 años,Debit Card,capital federal
florencio varela,191627427,female,02.Entre 18 y 25 años,Credit Card,capital federal
santa rosa,128098517,female,03.Entre 26 y 30 años,Account Money,la pampa
villa gobernador galvez,326255816,male,03.Entre 26 y 30 años,Credit Card,capital federal
villa crespo,3895691,male,06.Entre 41 y 55 años,Credit Card,buenos aires
beccar,156874862,male,06.Entre 41 y 55 años,Credit Card,capital federal
san justo,147185800,male,03.Entre 26 y 30 años,Credit Card,buenos aires
,84012892,male,04.Entre 31 y 35 años,Credit Card,santa fe
del viso,154938930,female,06.Entre 41 y 55 años,Credit Card,buenos aires
la matanza,69991331,female,07.Entre 56 y 65 años,Debit Card,buenos aires
glew,52602088,female,03.Entre 26 y 30 años,Debit Card,gran buenos aires
capital federal,82504719,female,06.Entre 41 y 55 años,Credit Card,capital federal
puerto iguazu,166568002,male,07.Entre 56 y 65 años,Credit Card,misiones
san miguel,164016278,male,02.Entre 18 y 25 años,Credit Card,buenos aires
quilmes,14460936,female,00. Sin Dato,Credit Card,buenos aires
colegiales,157403668,female,05.Entre 36 y 40 años,Debit Card,capital federal
coronel moldes,146864586,male,02.Entre 18 y 25 años,Account Money,cordoba
caba,98241141,male,06.Entre 41 y 55 años,Credit Card,capital federal
recoleta,201860751,Unknown,03.Entre 26 y 30 años,Account Money,buenos aires
,109007892,female,04.Entre 31 y 35 años,Account Money,buenos aires
gonzalez catan,359211670,female,07.Entre 56 y 65 años,Account Money,buenos aires
capital federal,19821465,female,06.Entre 41 y 55 años,Credit Card,capital federal
machagai,335959892,female,03.Entre 26 y 30 años,Debit Card,chaco
buenos aires,42916904,male,07.Entre 56 y 65 años,Credit Card,buenos aires
cordoba,169955169,female,05.Entre 36 y 40 años,Ticket,cordoba
saavedra,101772188,female,03.Entre 26 y 30 años,Account Money,capital federal
almagro,239540763,male,00. Sin Dato,Debit Card,capital federal
don orione,279448187,male,02.Entre 18 y 25 años,Credit Card,buenos aires
laferrere,105324986,female,00. Sin Dato,Account Money,buenos aires
recoleta,380262649,male,02.Entre 18 y 25 años,Credit Card,buenos aires
mar del plata,130252782,female,05.Entre 36 y 40 años,Debit Card,buenos aires
villa adelina,177807447,male,07.Entre 56 y 65 años,Credit Card,buenos aires
rafael castillo,289291398,female,02.Entre 18 y 25 años,Credit Card,buenos aires
lujan de cuyo,344862705,male,02.Entre 18 y 25 años,Account Money,mendoza
bariloche,200028617,female,07.Entre 56 y 65 años,Ticket,buenos aires
ciudad jardin del palomar,47687958,male,05.Entre 36 y 40 años,Credit Card,buenos aires
,170730036,male,00. Sin Dato,Credit Card,capital federal
quilmes,328947895,male,05.Entre 36 y 40 años,Account Money,buenos aires
caba,311058255,male,02.Entre 18 y 25 años,Debit Card,buenos aires
jujuy,290857536,female,04.Entre 31 y 35 años,Account Money,jujuy
buenos aires,235579511,male,04.Entre 31 y 35 años,Debit Card,buenos aires
caba,8387751,male,06.Entre 41 y 55 años,Account Money,capital federal
,10964490,male,06.Entre 41 y 55 años,Debit Card,buenos aires
belen de escobar,439358862,female,03.Entre 26 y 30 años,Debit Card,buenos aires
boulogne,54255874,male,03.Entre 26 y 30 años,Credit Card,buenos aires
quilmes,53824851,male,04.Entre 31 y 35 años,Account Money,buenos aires
marcos paz,412088425,male,02.Entre 18 y 25 años,Debit Card,buenos aires
once,115217423,female,04.Entre 31 y 35 años,Credit Card,capital federal
general arenales,127406011,male,06.Entre 41 y 55 años,Debit Card,buenos aires
general rodriguez,144189919,male,04.Entre 31 y 35 años,Debit Card,buenos aires
caba,18295459,female,07.Entre 56 y 65 años,Credit Card,capital federal
posadas,224415066,female,04.Entre 31 y 35 años,Account Money,misiones
gonzalezcatan,202018768,male,04.Entre 31 y 35 años,Credit Card,buenos aires
retiro,65925873,female,03.Entre 26 y 30 años,Credit Card,capital federal
jose leon suarez,299908761,female,02.Entre 18 y 25 años,Account Money,buenos aires
la plata,73208119,male,04.Entre 31 y 35 años,Credit Card,buenos aires
alta gracia,82349213,male,06.Entre 41 y 55 años,Credit Card,cordoba
san nicolas,119096421,male,05.Entre 36 y 40 años,Debit Card,buenos aires
san isidro,23701313,male,06.Entre 41 y 55 años,Credit Card,buenos aires
centro,148879344,female,02.Entre 18 y 25 años,Credit Card,capital federal
caba,133993028,female,06.Entre 41 y 55 años,Credit Card,buenos aires
villa lugano,182000149,female,02.Entre 18 y 25 años,Credit Card,buenos aires
chacarita,93755399,male,05.Entre 36 y 40 años,Credit Card,capital federal
merlo,621809,female,06.Entre 41 y 55 años,Credit Card,buenos aires
san antonio de padua,234907742,male,03.Entre 26 y 30 años,Account Money,buenos aires
saavedra,157850027,male,06.Entre 41 y 55 años,Debit Card,buenos aires
berisso,221965899,male,06.Entre 41 y 55 años,Credit Card,buenos aires
posadas,209443573,male,06.Entre 41 y 55 años,Account Money,misiones
chajari,218460275,female,00. Sin Dato,Account Money,entre rios
buenos aires,90309142,male,05.Entre 36 y 40 años,Credit Card,capital federal
pilar,160682585,male,04.Entre 31 y 35 años,Credit Card,buenos aires
reconquista,154647021,female,06.Entre 41 y 55 años,Credit Card,mendoza
avellaneda,207045056,female,00. Sin Dato,Credit Card,buenos aires
tandil,324263833,male,03.Entre 26 y 30 años,Account Money,buenos aires
quilmes,78499131,male,03.Entre 26 y 30 años,Debit Card,buenos aires
gobernador crespo,242585605,female,06.Entre 41 y 55 años,Credit Card,santa fe
los cardales,79204855,female,06.Entre 41 y 55 años,Debit Card,buenos aires
isidro casanova,170879203,male,05.Entre 36 y 40 años,Debit Card,buenos aires
almirante brown,219927046,male,02.Entre 18 y 25 años,Account Money,buenos aires
villa del parque,186337921,Unknown,06.Entre 41 y 55 años,Credit Card,buenos aires
villa ballester,336686084,female,08.Mayor de 65 años,Debit Card,buenos aires
caballito,196214654,female,03.Entre 26 y 30 años,Debit Card,buenos aires
ciudad de buenos aires,43565059,Unknown,06.Entre 41 y 55 años,Credit Card,capital federal
ciudad autonoma de buenos aires,59456024,male,04.Entre 31 y 35 años,Account Money,capital federal
cordoba,374823595,Unknown,02.Entre 18 y 25 años,Account Money,cordoba
monserrat,225221921,Unknown,06.Entre 41 y 55 años,Credit Card,capital federal
parana,190654628,male,03.Entre 26 y 30 años,Account Money,entre rios
francisco alvarez,204107636,Unknown,06.Entre 41 y 55 años,Account Money,buenos aires
palermo,96372356,female,05.Entre 36 y 40 años,Credit Card,tucuman
capital federal,225811098,female,05.Entre 36 y 40 años,Credit Card,capital federal
necochea,86036765,male,05.Entre 36 y 40 años,Credit Card,buenos aires
san salvador de jujuy,203308823,female,03.Entre 26 y 30 años,Account Money,jujuy
ituzaingo,174059247,male,02.Entre 18 y 25 años,Credit Card,buenos aires
caba,90482131,female,00. Sin Dato,Credit Card,capital federal
provincia de buenos aires,36597015,female,03.Entre 26 y 30 años,Debit Card,buenos aires
mar del plata,418458848,female,02.Entre 18 y 25 años,Debit Card,buenos aires
neuquen,282132791,male,02.Entre 18 y 25 años,Account Money,neuquen
balvanera,173574514,male,04.Entre 31 y 35 años,Credit Card,capital federal
general rodriguez,253680918,Unknown,03.Entre 26 y 30 años,Credit Card,buenos aires
rio gallegos,78010316,male,05.Entre 36 y 40 años,Credit Card,santa cruz
capital federal,215326708,female,00. Sin Dato,Account Money,capital federal
balcarce,155836338,female,02.Entre 18 y 25 años,Account Money,buenos aires
curuzu cuatia,294182808,female,05.Entre 36 y 40 años,Credit Card,corrientes
san jorge,60507512,male,06.Entre 41 y 55 años,Credit Card,santa fe
san telmo,185782914,female,00. Sin Dato,Credit Card,buenos aires
gualeguay,268936166,male,03.Entre 26 y 30 años,Credit Card,entre rios
la plata,314566138,female,05.Entre 36 y 40 años,Account Money,buenos aires
san isidro,78022024,male,06.Entre 41 y 55 años,Account Money,buenos aires
lanus,275447558,female,02.Entre 18 y 25 años,Credit Card,buenos aires
coghlan,76351234,female,06.Entre 41 y 55 años,Credit Card,capital federal
martinez,262860659,female,07.Entre 56 y 65 años,Credit Card,buenos aires
capital federal,215721195,male,07.Entre 56 y 65 años,Credit Card,capital federal
caba,152327504,female,04.Entre 31 y 35 años,Debit Card,capital federal
godoy cruz,243552027,female,06.Entre 41 y 55 años,Debit Card,mendoza
liniers,64704660,male,05.Entre 36 y 40 años,Account Money,buenos aires
libertad / v magdalena,25338745,male,03.Entre 26 y 30 años,Account Money,buenos aires
merlo,294047854,male,05.Entre 36 y 40 años,Account Money,san luis
belen de escobar,174368244,female,02.Entre 18 y 25 años,Account Money,buenos aires
coronel moldes,219576796,male,06.Entre 41 y 55 años,Account Money,salta
adrogue,245106911,female,04.Entre 31 y 35 años,Account Money,buenos aires
palermo,236681922,male,02.Entre 18 y 25 años,Credit Card,capital federal
santiago del estero,321423542,male,02.Entre 18 y 25 años,Account Money,santiago del estero
bella vista,428336599,male,03.Entre 26 y 30 años,Debit Card,buenos aires
,155664848,male,06.Entre 41 y 55 años,Credit Card,san juan
mendoza,94866595,male,04.Entre 31 y 35 años,Credit Card,mendoza
bahia blanca  barrio patagonia,294065127,male,02.Entre 18 y 25 años,Debit Card,buenos aires
parana,341007790,female,02.Entre 18 y 25 años,Debit Card,entre rios
bahia blanca,240727539,female,06.Entre 41 y 55 años,Account Money,buenos aires
chajari,166276484,male,00. Sin Dato,Account Money,capital federal
gonzalez catan,133848353,female,04.Entre 31 y 35 años,Credit Card,buenos aires
martinez,106609011,female,07.Entre 56 y 65 años,Account Money,capital federal
recoleta,224578509,female,04.Entre 31 y 35 años,Account Money,capital federal
villa bosch,91066317,male,04.Entre 31 y 35 años,Account Money,buenos aires
nuñez,2800012,male,06.Entre 41 y 55 años,Credit Card,capital federal
caba,37859317,female,05.Entre 36 y 40 años,Debit Card,capital federal
capital federal,28452980,male,03.Entre 26 y 30 años,Debit Card,capital federal
puerto iguazu,19421413,male,04.Entre 31 y 35 años,Account Money,misiones
ciudad autonoma de buenos aires,74105628,female,05.Entre 36 y 40 años,Debit Card,capital federal
vicente lopez,358822691,female,00. Sin Dato,Credit Card,buenos aires
,133512615,male,06.Entre 41 y 55 años,Debit Card,buenos aires
capital federal,95757216,female,06.Entre 41 y 55 años,Credit Card,capital federal
san nicolas,278568853,male,03.Entre 26 y 30 años,Debit Card,capital federal
buenos aires,50710288,female,07.Entre 56 y 65 años,Ticket,capital federal
buenos aires,114841372,male,04.Entre 31 y 35 años,Debit Card,capital federal
palermo,52225002,female,07.Entre 56 y 65 años,Credit Card,capital federal
luis guillon,73752953,female,03.Entre 26 y 30 años,Credit Card,buenos aires
salta,233046978,male,02.Entre 18 y 25 años,Debit Card,salta
caba,128623695,male,07.Entre 56 y 65 años,Credit Card,capital federal
isidro casanova,113611799,male,06.Entre 41 y 55 años,Credit Card,buenos aires
arias,235081251,female,04.Entre 31 y 35 años,Credit Card,cordoba
villa dolores,356912640,female,05.Entre 36 y 40 años,Credit Card,cordoba
citral co,245151258,male,03.Entre 26 y 30 años,Debit Card,neuquen
florencio varela,287882781,male,04.Entre 31 y 35 años,Debit Card,buenos aires
luis guillon,189464577,male,03.Entre 26 y 30 años,Debit Card,capital federal
belgrano,130572549,female,00. Sin Dato,Account Money,capital federal
ciudad autonoma de buenos aires,16910662,male,06.Entre 41 y 55 años,Account Money,capital federal
boedo,150204275,male,02.Entre 18 y 25 años,Credit Card,capital federal
flores,128264593,female,03.Entre 26 y 30 años,Account Money,capital federal
avellaneda,292725770,male,03.Entre 26 y 30 años,Credit Card,buenos aires
ciudad madero,171262449,male,07.Entre 56 y 65 años,Credit Card,buenos aires
mar del plata,108786232,female,04.Entre 31 y 35 años,Credit Card,capital federal
berisso - la plata,28283850,male,03.Entre 26 y 30 años,Debit Card,buenos aires
villa regina,242288457,male,04.Entre 31 y 35 años,Debit Card,rio negro
ranelagh,82518589,male,06.Entre 41 y 55 años,Credit Card,buenos aires
caballito,40589509,male,04.Entre 31 y 35 años,Credit Card,capital federal
buenos aires,78429988,female,06.Entre 41 y 55 años,Credit Card,buenos aires
guernica,369393692,female,04.Entre 31 y 35 años,Account Money,buenos aires
guernica,114686358,male,03.Entre 26 y 30 años,Debit Card,capital federal
toay,388225358,male,08.Mayor de 65 años,Credit Card,la pampa
generalsanmartin,150230234,male,04.Entre 31 y 35 años,Credit Card,cordoba
chacarita,73144623,male,04.Entre 31 y 35 años,Credit Card,capital federal
azul,156509951,male,06.Entre 41 y 55 años,Debit Card,buenos aires
moron,174530589,female,00. Sin Dato,Debit Card,buenos aires
mar del plata,50461485,male,03.Entre 26 y 30 años,Credit Card,buenos aires
jose c. paz,288274713,male,03.Entre 26 y 30 años,Credit Card,buenos aires
lanus este,35150874,male,06.Entre 41 y 55 años,Credit Card,buenos aires
neuquen,171395180,Unknown,00. Sin Dato,Credit Card,neuquen
salta,58625172,male,05.Entre 36 y 40 años,Account Money,salta
flores,302259665,female,02.Entre 18 y 25 años,Account Money,capital federal
avellaneda,5459627,male,06.Entre 41 y 55 años,Credit Card,capital federal
pilar,187475322,male,02.Entre 18 y 25 años,Account Money,buenos aires
lavalle costa de araujo,289652233,male,05.Entre 36 y 40 años,Debit Card,mendoza
moron,54330573,female,03.Entre 26 y 30 años,Credit Card,buenos aires
san jose guaimallen,179367902,male,07.Entre 56 y 65 años,Account Money,mendoza
capital federal,15135218,male,06.Entre 41 y 55 años,Credit Card,capital federal
moreno,173552715,male,04.Entre 31 y 35 años,Credit Card,buenos aires
capital federal,58173090,female,06.Entre 41 y 55 años,Debit Card,capital federal
balvanera,10525696,male,06.Entre 41 y 55 años,Debit Card,buenos aires
resistencia,216941891,male,00. Sin Dato,Ticket,chaco
san miguel,158318179,female,03.Entre 26 y 30 años,Credit Card,buenos aires
chacabuco,155283411,female,03.Entre 26 y 30 años,Debit Card,buenos aires
caba,220395654,male,03.Entre 26 y 30 años,Debit Card,buenos aires
el jaguel,278481102,male,05.Entre 36 y 40 años,Account Money,buenos aires
,98054690,female,06.Entre 41 y 55 años,Debit Card,santa cruz
escobar,160558519,Unknown,04.Entre 31 y 35 años,Credit Card,buenos aires
bahia blanca,45473251,female,04.Entre 31 y 35 años,Credit Card,buenos aires
quilmes,215801781,female,02.Entre 18 y 25 años,Credit Card,buenos aires
rio gallegos,157341758,Unknown,03.Entre 26 y 30 años,Debit Card,buenos aires
san nicolas de los arroyos,158679891,male,00. Sin Dato,Debit Card,buenos aires
capital federal,82765817,male,03.Entre 26 y 30 años,Debit Card,capital federal
san fernando,141344465,female,04.Entre 31 y 35 años,Debit Card,buenos aires
vicente lopez,314022591,male,05.Entre 36 y 40 años,Credit Card,buenos aires
villa mercedes,195032778,male,04.Entre 31 y 35 años,Debit Card,san luis
capital federal,149177375,female,04.Entre 31 y 35 años,Credit Card,capital federal
pontevedra (merlo),47906621,male,04.Entre 31 y 35 años,Credit Card,buenos aires
londres,43006256,male,07.Entre 56 y 65 años,Credit Card,catamarca
jose.c.paz,269240883,male,02.Entre 18 y 25 años,Credit Card,buenos aires
caba,101142072,female,00. Sin Dato,Ticket,capital federal
berazategui,246244287,male,00. Sin Dato,Account Money,capital federal
rosario sur,74076367,female,06.Entre 41 y 55 años,Credit Card,santa fe
caballito,94056162,female,06.Entre 41 y 55 años,Account Money,capital federal
realico,142214858,male,02.Entre 18 y 25 años,Credit Card,la pampa
llavallol,59207021,male,05.Entre 36 y 40 años,Credit Card,buenos aires
ezeiza,284761189,male,02.Entre 18 y 25 años,Debit Card,buenos aires
resistencia,311670339,male,05.Entre 36 y 40 años,Account Money,chaco
laferrere,176496489,male,03.Entre 26 y 30 años,Account Money,buenos aires
santa fe,236218900,female,04.Entre 31 y 35 años,Credit Card,santa fe
villa pueyrredon,300918960,male,05.Entre 36 y 40 años,Credit Card,capital federal
posadas,119678834,male,05.Entre 36 y 40 años,Credit Card,misiones
nogoli,154047339,male,05.Entre 36 y 40 años,Account Money,buenos aires
palermo,184250037,male,02.Entre 18 y 25 años,Credit Card,capital federal
villa elisa,271602778,Unknown,02.Entre 18 y 25 años,Account Money,entre rios
lincoln,133880159,male,03.Entre 26 y 30 años,Debit Card,buenos aires
belgrano,57808823,male,05.Entre 36 y 40 años,Credit Card,capital federal
banfield,243165309,female,03.Entre 26 y 30 años,Credit Card,buenos aires
,9085458,female,06.Entre 41 y 55 años,Credit Card,buenos aires
sanmiguel,41816878,female,05.Entre 36 y 40 años,Account Money,buenos aires
la matanza,257631025,female,05.Entre 36 y 40 años,Credit Card,buenos aires
mendoza,334011524,male,07.Entre 56 y 65 años,Credit Card,mendoza
rojas,425538112,female,02.Entre 18 y 25 años,Credit Card,buenos aires
la plata,70247045,male,05.Entre 36 y 40 años,Credit Card,buenos aires
barracas,3148853,male,04.Entre 31 y 35 años,Debit Card,capital federal
caba,236301749,male,02.Entre 18 y 25 años,Account Money,capital federal
palermo,62748054,male,02.Entre 18 y 25 años,Credit Card,capital federal
monte grande,250175096,male,02.Entre 18 y 25 años,Credit Card,buenos aires
almagro,430543735,male,06.Entre 41 y 55 años,Credit Card,capital federal
villa nicolas avellaneda,194895641,male,03.Entre 26 y 30 años,Debit Card,san juan
caba,44090170,female,06.Entre 41 y 55 años,Debit Card,capital federal
capital,156301745,male,06.Entre 41 y 55 años,Credit Card,capital federal
lomas del mirador,139815826,male,02.Entre 18 y 25 años,Credit Card,buenos aires
capital federal,304051225,male,00. Sin Dato,Debit Card,rio negro
cañada de gomez,297182222,female,07.Entre 56 y 65 años,Credit Card,santa fe
"libertad, merlo",30457085,male,03.Entre 26 y 30 años,Debit Card,buenos aires
lima,176917648,female,07.Entre 56 y 65 años,Credit Card,buenos aires
buenos aires,68889187,female,04.Entre 31 y 35 años,Credit Card,capital federal
nogoya,190459354,female,05.Entre 36 y 40 años,ATM,entre rios
bahia blanca,24350898,male,06.Entre 41 y 55 años,Credit Card,buenos aires
ciudad autonoma de buenos aires,123704869,female,04.Entre 31 y 35 años,Credit Card,capital federal
el jaguel,240498491,female,06.Entre 41 y 55 años,Credit Card,buenos aires
general pico,185368800,female,02.Entre 18 y 25 años,Debit Card,la pampa
la plata,148400235,male,00. Sin Dato,Account Money,buenos aires
fontana,294502226,female,05.Entre 36 y 40 años,Credit Card,chaco
parana,222898295,female,05.Entre 36 y 40 años,Account Money,entre rios
"las heras, barrio rucalen sn",152085446,male,05.Entre 36 y 40 años,Debit Card,mendoza
san nicolas,178132024,female,04.Entre 31 y 35 años,Credit Card,buenos aires
capital federal,167894258,female,02.Entre 18 y 25 años,Debit Card,capital federal
berazategui,41520914,female,06.Entre 41 y 55 años,Account Money,buenos aires
isidro casanova,151265391,female,04.Entre 31 y 35 años,Account Money,buenos aires
villa pueyrredon,42569807,female,04.Entre 31 y 35 años,Credit Card,capital federal
berazategui,129958892,female,05.Entre 36 y 40 años,Account Money,buenos aires
buenos aires,237479629,female,05.Entre 36 y 40 años,Credit Card,buenos aires
tigre,140544285,male,00. Sin Dato,Credit Card,buenos aires
caba,86279126,male,06.Entre 41 y 55 años,Debit Card,capital federal
la tablada,228696257,female,00. Sin Dato,Credit Card,buenos aires
,95648917,male,04.Entre 31 y 35 años,Credit Card,buenos aires
quilmes oeste,249430531,male,06.Entre 41 y 55 años,Account Money,buenos aires
cordoba,399832814,female,02.Entre 18 y 25 años,Ticket,cordoba
charata,92067706,male,06.Entre 41 y 55 años,Credit Card,chaco
villa santa rita,28358429,male,06.Entre 41 y 55 años,Credit Card,capital federal
,110692371,female,06.Entre 41 y 55 años,Debit Card,buenos aires
pilar,21430004,female,06.Entre 41 y 55 años,Debit Card,buenos aires
san miguel de tucuman,154958838,female,04.Entre 31 y 35 años,Account Money,tucuman
,83051820,male,04.Entre 31 y 35 años,Credit Card,buenos aires
villa real,156545698,male,03.Entre 26 y 30 años,Ticket,capital federal
zarate,185757260,male,03.Entre 26 y 30 años,Credit Card,corrientes
cordoba,143624893,female,00. Sin Dato,Credit Card,cordoba
la rioja,260807267,female,06.Entre 41 y 55 años,Credit Card,capital federal
,3631163,female,06.Entre 41 y 55 años,Credit Card,capital federal
caba,74538018,female,00. Sin Dato,Debit Card,capital federal
"caba, palermo",216636604,female,03.Entre 26 y 30 años,Credit Card,capital federal
la falda,377079307,male,06.Entre 41 y 55 años,Credit Card,cordoba
,11505185,male,06.Entre 41 y 55 años,Credit Card,buenos aires
lomas de zamora,15180465,male,04.Entre 31 y 35 años,Credit Card,buenos aires
paso del rey,387526343,male,04.Entre 31 y 35 años,Account Money,buenos aires
capital federal,99071642,male,06.Entre 41 y 55 años,Credit Card,buenos aires
chepes,73415381,male,06.Entre 41 y 55 años,Account Money,la rioja
caba,44998119,male,04.Entre 31 y 35 años,Credit Card,capital federal
caba,301493785,male,02.Entre 18 y 25 años,Debit Card,capital federal
general pico,277005624,female,03.Entre 26 y 30 años,Account Money,buenos aires
nuñez,183739461,female,02.Entre 18 y 25 años,Debit Card,buenos aires
corrientes,269320148,male,03.Entre 26 y 30 años,Credit Card,corrientes
caba,223257014,female,07.Entre 56 y 65 años,Debit Card,buenos aires
villa urquiza,126583298,female,06.Entre 41 y 55 años,Credit Card,capital federal
,59455185,male,06.Entre 41 y 55 años,Credit Card,buenos aires
mar del plata,163710989,female,02.Entre 18 y 25 años,Account Money,buenos aires
avellaneda,110707865,male,04.Entre 31 y 35 años,Credit Card,capital federal
santa clara de saguier,141805321,female,04.Entre 31 y 35 años,Debit Card,santa fe
la bota,292844934,female,02.Entre 18 y 25 años,Credit Card,buenos aires
san miguel de tucuman,76290605,male,05.Entre 36 y 40 años,Credit Card,tucuman
ranelagh,398714028,male,06.Entre 41 y 55 años,Debit Card,buenos aires
,68887008,male,06.Entre 41 y 55 años,Credit Card,buenos aires
san miguel de tucuman.,365857972,female,06.Entre 41 y 55 años,Credit Card,tucuman
moreno,42799015,female,06.Entre 41 y 55 años,Debit Card,buenos aires
castelar,267400553,male,04.Entre 31 y 35 años,Credit Card,buenos aires
san lorenzo,381022737,male,00. Sin Dato,Account Money,santa fe
mataderos,53822382,male,07.Entre 56 y 65 años,Account Money,capital federal
parque patricios,50964433,Unknown,00. Sin Dato,Account Money,capital federal
parque avellaneda,29752621,Unknown,06.Entre 41 y 55 años,Credit Card,capital federal
colegiales,243959657,female,04.Entre 31 y 35 años,Credit Card,capital federal
llavallol,295095533,male,03.Entre 26 y 30 años,Account Money,buenos aires
,99084122,female,04.Entre 31 y 35 años,Credit Card,buenos aires
tacuarendi,355456702,female,03.Entre 26 y 30 años,Account Money,santa fe
